,Posizione,Interprete,Canzone,Anno,Autori,Posizione_numerica,Stato,Artista_spotify,Popolarità,Anno_ultimo_rilascio,Presentatore,Sede,Partecipanti,,,
863,8º,Fiorella Mannoia,Quello che le donne non dicono,1987,E. Ruggeri e L. Schiavone,8,Finalista,Fiorella Mannoia,56,1988,Pippo Baudo,Teatro Ariston,40,,,
864,9º,Luca Barbarossa,Come dentro un film,1987,L. Barbarossa,9,Finalista,Luca Barbarossa,43,2011,Pippo Baudo,Teatro Ariston,40,,,
865,10º,Christian,Aria e musica,1987,S. Amato e F. Morgia,10,Finalista,Música de mesa para sentirse bien durante la cena,0,2024,Pippo Baudo,Teatro Ariston,40,,,
866,11º,Lena Biolcati,Vita mia,1987,S. D'Orazio e M. Tansini,11,Finalista,Amedeo Minghi,37,2014,Pippo Baudo,Teatro Ariston,40,,,
867,12º,Rossana Casale,Destino,1987,G. Morra e M. Fabrizio,12,Finalista,VillaBanks,42,2023,Pippo Baudo,Teatro Ariston,40,,,
868,13º,Flavia Fortunato,Canto per te,1987,"E. Palumbo, A. de Sanctis e M. Banis",13,Finalista,DJ Herzbeat,37,2020,Pippo Baudo,Teatro Ariston,40,,,
869,14º,Dori Ghezzi,E non si finisce mai,1987,A. Cogliati e P. Cassano,14,Finalista,Il Laboratorio del Ritmo,0,2020,Pippo Baudo,Teatro Ariston,40,,,
870,15º,Eduardo De Crescenzo,L'odore del mare,1987,"G. Morra, E. De Crescenzo e M. Fabrizio",15,Finalista,Tiromancino,38,2021,Pippo Baudo,Teatro Ariston,40,,,
871,16º,Scialpi,Bella età,1987,"F. Migliacci, G. Scialpi e R. Zaneli",16,Finalista,Marcello Vadori,0,2018,Pippo Baudo,Teatro Ariston,40,,,
872,17º,Le Orme,Dimmi che cos'è,1987,A. Tagliapietra,17,Finalista,Pupo,20,1995,Pippo Baudo,Teatro Ariston,40,,,
873,18º,Mango,Dal cuore in poi,1987,"A. Salerno, A. Mango e G. Mango",18,Finalista,Mango,12,1987,Pippo Baudo,Teatro Ariston,40,,,
874,19º,Tony Esposito,Sinuè,1987,"G. Di Franco, T. Esposito e R. Licastro",19,Finalista,Tony Esposito,14,1997,Pippo Baudo,Teatro Ariston,40,,,
875,20º,Patty Pravo,Pigramente signora,1987,M. Arnaboldi e F. Evangelisti,20,Finalista,Patty Pravo,6,1988,Pippo Baudo,Teatro Ariston,40,,,
876,21º,Sergio Caputo,Il Garibaldi innamorato,1987,S. Caputo,21,Finalista,Sergio Caputo,35,1987,Pippo Baudo,Teatro Ariston,40,,,
877,22º,Mario Castelnuovo,Madonna di Venere,1987,M. Castelnuovo,22,Finalista,Mario Castelnuovo,3,2003,Pippo Baudo,Teatro Ariston,40,,,
878,23º,Nino Buonocore,Rosanna,1987,N. Buonocore,23,Finalista,Rosanna Fratello,44,1999,Pippo Baudo,Teatro Ariston,40,,,
879,24º,Nada,Bolero,1987,G. Manzoli,24,Finalista,London Symphony Orchestra,51,1995,Pippo Baudo,Teatro Ariston,40,,,
880,1º,Massimo Ranieri,Perdere l'amore,1988,M. Marrocchi e G. Artegiani,1,Vincitore,,,,Miguel Bosé,Teatro Ariston,42,,,
881,2º,Toto Cutugno,Emozioni,1988,T. Cutugno,2,Finalista,Lucio Battisti,55,1970,Miguel Bosé,Teatro Ariston,42,,,
882,3º,Luca Barbarossa,L'amore rubato,1988,L. Barbarossa,3,Finalista,Luca Barbarossa,36,1988,Miguel Bosé,Teatro Ariston,42,,,
883,4º,Marcella,Dopo la tempesta,1988,A. Salerno e G. Bella,4,Finalista,Marcella Bella,38,1988,Miguel Bosé,Teatro Ariston,42,,,
884,5º,Fausto Leali,Mi manchi,1988,F. Berlincioni e G. Fasano,5,Finalista,Paky,62,2022,Miguel Bosé,Teatro Ariston,42,,,
885,6º,Mino Reitano,Italia,1988,U. Balsamo,6,Finalista,BIA,73,2023,Miguel Bosé,Teatro Ariston,42,,,
886,7º,Anna Oxa,Quando nasce un amore,1988,"A. Cogliati, F. Ciani e P. Cassano",7,Finalista,Anna Oxa,58,1988,Miguel Bosé,Teatro Ariston,42,,,
887,8º,Fiordaliso con Claudio Cabrini,Per noi,1988,T. Cutugno,8,Finalista,Amedeo Minghi,22,2014,Miguel Bosé,Teatro Ariston,42,,,
888,9º,Ricchi e Poveri,Nascerà Gesù,1988,U. Balsamo,9,Finalista,Francesco Rinaldi,2,2007,Miguel Bosé,Teatro Ariston,42,,,
889,10º,Fiorella Mannoia,Le notti di maggio,1988,I. Fossati,10,Finalista,Fiorella Mannoia,33,2014,Miguel Bosé,Teatro Ariston,42,,,
890,11º,Raf,Inevitabile follia,1988,G. Bigazzi e R. Riefoli,11,Finalista,Raf,43,1988,Miguel Bosé,Teatro Ariston,42,,,
891,12º,Francesco Nuti,Sarà per te,1988,R. Mariotti,12,Finalista,Francesco Nuti,39,1989,Miguel Bosé,Teatro Ariston,42,,,
892,13º,Franco Califano,Io (Per le strade di quartiere),1988,F. Califano e T. Cutugno,13,Finalista,Franco Califano,26,2016,Miguel Bosé,Teatro Ariston,42,,,
893,14º,Figli di Bubba,Nella valle dei Timbales,1988,M. Pagani,14,Finalista,Fausto Papetti,0,1997,Miguel Bosé,Teatro Ariston,42,,,
894,15º,Michele Zarrillo,Come un giorno di sole,1988,"G. Artegiani, M. Zarrillo e L. Lopez",15,Finalista,Enrico Gerli,1,2016,Miguel Bosé,Teatro Ariston,42,,,
895,16º,Loredana Bertè,Io,1988,T. Cicco,16,Finalista,Rose Villain,69,2023,Miguel Bosé,Teatro Ariston,42,,,
896,17º,Peppino di Capri,Nun chiagnere,1988,"L. Raggi, Depsa e G. Fasano",17,Finalista,Alessandra Di Cesare,26,2023,Miguel Bosé,Teatro Ariston,42,,,
897,18º,Tullio De Piscopo,Andamento lento,1988,"T. De Piscopo, M. Capuano e G. Capuano",18,Finalista,Tullio De Piscopo,43,1998,Miguel Bosé,Teatro Ariston,42,,,
898,19º,Matia Bazar,La prima stella della sera,1988,"A. Stellita, S. Cossu e C. Marrale",19,Finalista,Matia Bazar,17,2011,Miguel Bosé,Teatro Ariston,42,,,
899,20º,Drupi,Era bella davvero,1988,"O. Avogadro, P. Cassella e D. Farina",20,Finalista,Drupi,33,2019,Miguel Bosé,Teatro Ariston,42,,,
900,21º,Ron,Il mondo avrà una grande anima,1988,R. Cellamare,21,Finalista,Ron,7,2013,Miguel Bosé,Teatro Ariston,42,,,
901,22º,Flavia Fortunato,Una bella canzone,1988,O. Avogadro e M. Lavezzi,22,Finalista,,,,Miguel Bosé,Teatro Ariston,42,,,
902,23º,New Trolls,Cielo chiaro,1988,"V. De Scalzi, N. Di Palo e G. Belleno",23,Finalista,New Credo,8,1991,Miguel Bosé,Teatro Ariston,42,,,
903,24º,Denovo,Ma che idea,1988,L. Madonia,24,Finalista,King Ital Rebel,32,2015,Miguel Bosé,Teatro Ariston,42,,,
904,25º,Nino Buonocore,Le tue chiavi non ho,1988,A. Salerno e N. Buonocore,25,Finalista,Fausto Papetti,0,1997,Miguel Bosé,Teatro Ariston,42,,,
905,26º,Alan Sorrenti,Come per miracolo,1988,A. Sorrenti e G. Cavalli,26,Finalista,Ennio Morricone,14,1974,Miguel Bosé,Teatro Ariston,42,,,
906,1º,Anna Oxa e Fausto Leali,Ti lascerò,1989,"G. Fasano, F. Leali, F. Ciani, F. Berlincioni e S. Bardotti",1,Vincitore,,,,Rosita Celentano,Teatro Ariston,48,,,
907,2º,Toto Cutugno,Le mamme,1989,T. Cutugno e S. Borgia,2,Finalista,Pino Marelli,21,2011,Rosita Celentano,Teatro Ariston,48,,,
908,3º,Al Bano e Romina Power,Cara terra mia,1989,"A. Carrisi, R. Power e V. Pallavicini",3,Finalista,Al Bano,21,2007,Rosita Celentano,Teatro Ariston,48,,,
909,4º,Riccardo Fogli,Non finisce così,1989,"Laurex, M. Patrignani, C. Cofani e F. Evangelisti",4,Finalista,Riccardo Fogli,18,1997,Rosita Celentano,Teatro Ariston,48,,,
910,5°,Jovanotti,Vasco,1989,"C. Cecchetto, L. Cherubini, L. Cersosimo",5,Finalista,Vasco Rossi,59,2016,Rosita Celentano,Teatro Ariston,48,,,
911,6°,Fiordaliso con Claudio Cabrini,Se non avessi te,1989,T. Cutugno,6,Finalista,Umberto Tozzi,42,1987,Rosita Celentano,Teatro Ariston,48,,,
912,7°,Francesco Salvi,Esatto!,1989,"F. Salvi, S. Melloni e M. Natale",7,Finalista,Dayfel Perdomo,0,2019,Rosita Celentano,Teatro Ariston,48,,,
913,8°,Ricchi e Poveri,Chi voglio sei tu,1989,P. Cassano e A. Cogliati,8,Finalista,Ricchi E Poveri,18,2004,Rosita Celentano,Teatro Ariston,48,,,
914,9°,Mia Martini,Almeno tu nell'universo,1989,B. Lauzi e M. Fabrizio,9,Finalista,Mia Martini,56,2011,Rosita Celentano,Teatro Ariston,48,,,
915,10°,Ornella Vanoni,Io come farò,1989,"M. Pagani, G. Paoli e S. Bardotti",10,Finalista,Ornella Vanoni,14,1989,Rosita Celentano,Teatro Ariston,48,,,
916,11°,Peppino di Capri,Il mio pianoforte,1989,"R. Fiorillo, M. Di Francia e G. Faiella",11,Finalista,Francesco Baccini,38,1990,Rosita Celentano,Teatro Ariston,48,,,
917,12°,Marisa Laurito,Il babà è una cosa seria,1989,S. Palomba e E. Alfieri,12,Finalista,Emanuele Aloia,63,2021,Rosita Celentano,Teatro Ariston,48,,,
918,13°,Gino Paoli,Questa volta no,1989,P. Penzo e G. Paoli,13,Finalista,Raphael Gualazzi,17,2020,Rosita Celentano,Teatro Ariston,48,,,
919,14°,Renato Carosone,Na canzuncella doce doce,1989,C. Mattone,14,Finalista,Sal Da Vinci,26,2009,Rosita Celentano,Teatro Ariston,48,,,
920,15°,Raf,Cosa resterà degli anni '80,1989,"G. Bigazzi, G. Dati e R. Riefoli",15,Finalista,Raf,53,1989,Rosita Celentano,Teatro Ariston,48,,,
921,16°,Dori Ghezzi,Il cuore delle donne,1989,"M. Paoluzzi, O. Avogadro e R. Ferri",16,Finalista,Orchestra Matteo Tassi,0,2007,Rosita Celentano,Teatro Ariston,48,,,
922,17°,Enzo Jannacci,Se me lo dicevi prima,1989,E. Jannacci e M. Bassi,17,Finalista,Enzo Jannacci,34,1997,Rosita Celentano,Teatro Ariston,48,,,
923,18°,Gigliola Cinquetti,Ciao,1989,"Gepy & Gepy, M. Governi e R. Russo",18,Finalista,Sfera Ebbasta,73,2023,Rosita Celentano,Teatro Ariston,48,,,
924,19°,Rossana Casale,A che servono gli dei,1989,M. Fabrizio e G. Morra,19,Finalista,Rossana Casale,16,1989,Rosita Celentano,Teatro Ariston,48,,,
925,20°,Tullio De Piscopo,E allora e allora,1989,"M. Capuano, G. Capuano e T. De Piscopo",20,Finalista,Vinicio Capossela,40,2003,Rosita Celentano,Teatro Ariston,48,,,
926,21°,Eduardo De Crescenzo,Come mi vuoi,1989,M. G. Nava e E. De Crescenzo,21,Finalista,Eduardo De Crescenzo,31,1989,Rosita Celentano,Teatro Ariston,48,,,
927,22°,Fred Bongusto,Scusa,1989,"F. Bongusto, E. Campassi e S. Iodice",22,Finalista,Gazzelle,57,2021,Rosita Celentano,Teatro Ariston,48,,,
928,23°,Gigi Sabani,La fine del mondo,1989,"T. Cutugno, G. Fasano e Depsa",23,Finalista,Anastasio,35,2018,Rosita Celentano,Teatro Ariston,48,,,
929,24°,Sergio Caputo,Rifarsi una vita,1989,S. Caputo,24,Finalista,Sergio Caputo,0,2024,Rosita Celentano,Teatro Ariston,48,,,
930,1º,Pooh,Uomini soli,1990,V. Negrini e C. Facchinetti,1,Vincitore,,,,Gabriella Carlucci,Sanremo,36,,,
931,2º,Toto Cutugno,Gli amori,1990,"F. Berlincioni, S. Cutugno e S. De Pasquale",2,Finalista,Toto Cutugno,39,2002,Gabriella Carlucci,Sanremo,36,,,
932,3º,Amedeo Minghi e Mietta,Vattene amore,1990,A. Minghi,3,Finalista,Mietta,57,1990,Gabriella Carlucci,Sanremo,36,,,
933,4°,Anna Oxa,Donna con te,1990,D. Amerio e L. Boero,4,Finalista,Anna Oxa,42,1990,Gabriella Carlucci,Sanremo,36,,,
934,5°,Marcella e Gianni Bella,Verso l'ignoto,1990,"D. Di Gregorio, G. Bella e R. Di Bella",5,Finalista,Gianni Bella,28,1990,Gabriella Carlucci,Sanremo,36,,,
935,6°,Mia Martini,La nevicata del '56,1990,"C. Vistarini, F. Califano, M. Cantini e L. Lopez",6,Finalista,Mia Martini,35,2012,Gabriella Carlucci,Sanremo,36,,,
936,7°,Mango,Tu... sì,1990,A. Mango e G. Mango,7,Finalista,Angelo Famao,65,2018,Gabriella Carlucci,Sanremo,36,,,
937,8°,Francesco Salvi,A,1990,"F. Salvi, M. Natale, R. Turatti e S. Melloni",8,Finalista,Yung Pips,48,2022,Gabriella Carlucci,Sanremo,36,,,
938,9°,Caterina Caselli,Bisognerebbe non pensare che a te,1990,G. Morra e M. Fabrizio,9,Finalista,Caterina Caselli,16,1990,Gabriella Carlucci,Sanremo,36,,,
939,10°,Riccardo Fogli,Ma quale amore,1990,"A. De Angelis, B. Incarnato e L. Lopez",10,Finalista,Eduardo De Crescenzo,24,2017,Gabriella Carlucci,Sanremo,36,,,
940,11°,Sandro Giacobbe,Io vorrei,1990,S. Cutugno e S. Giacobbe,11,Finalista,Lucio Battisti,56,1972,Gabriella Carlucci,Sanremo,36,,,
941,12°,Paola Turci,Ringrazio Dio,1990,"A. Rizzo, Rambow e R. Silvestro",12,Finalista,Paola Turci,14,2013,Gabriella Carlucci,Sanremo,36,,,
942,13°,Milva,Sono felice,1990,R. Cellamare e B. Antonacci,13,Finalista,Blue Virus,23,2017,Gabriella Carlucci,Sanremo,36,,,
943,14°,Grazia Di Michele,Io e mio padre,1990,G. Di Michele,14,Finalista,Grazia Di Michele,12,2016,Gabriella Carlucci,Sanremo,36,,,
944,15°,Peppino di Capri,Evviva Maria,1990,G. Faiella e S. De Pasquale,15,Finalista,Peppino Di Capri,25,2013,Gabriella Carlucci,Sanremo,36,,,
945,16°,Eugenio Bennato e Tony Esposito,Novecento Aufwiedersehen,1990,"E. Bennato, A. Esposito e C. D'Angiò",16,Finalista,Eugenio Bennato,2,2010,Gabriella Carlucci,Sanremo,36,,,
946,17°,Ricchi e Poveri,Buona giornata,1990,"S. De Pasquale, M. Paoluzzi e V. Cosma",17,Finalista,Aliciakat,24,2023,Gabriella Carlucci,Sanremo,36,,,
947,18°,Lena Biolcati,Amori,1990,L. Biolcati e Robymiro,18,Finalista,Renato Zero,20,1982,Gabriella Carlucci,Sanremo,36,,,
948,19°,Mino Reitano,Vorrei,1990,"C. Malgioglio, P. Vernola, F. Reitano e B. Reitano",19,Finalista,J-AX,55,2017,Gabriella Carlucci,Sanremo,36,,,
949,20°,Christian,Amore,1990,"F. Berlincioni, G. Rossi, S. Amato e F. Morgia",20,Finalista,Emma,65,2023,Gabriella Carlucci,Sanremo,36,,,
950,1º,Riccardo Cocciante,Se stiamo insieme,1991,R. Cocciante e Mogol,1,Vincitore,,,,Andrea Occhipinti,Teatro Ariston,36,,,
951,2º,Renato Zero,Spalle al muro,1991,M. Nava,2,Finalista,Renato Zero,39,1991,Andrea Occhipinti,Teatro Ariston,36,,,
952,3º,Marco Masini,Perché lo fai,1991,"G. Bigazzi, M. Manzani e M. Masini",3,Finalista,Marco Masini,42,1991,Andrea Occhipinti,Teatro Ariston,36,,,
953,4º,Umberto Tozzi,Gli altri siamo noi,1991,U. Tozzi e G. Bigazzi,4,Finalista,Umberto Tozzi,46,1991,Andrea Occhipinti,Teatro Ariston,36,,,
954,5º,Pierangelo Bertoli e Tazenda,Spunta la Luna dal monte,1991,L. Marielli e P. Bertoli,5,Finalista,Pierangelo Bertoli,47,1995,Andrea Occhipinti,Teatro Ariston,36,,,
955,6º,Amedeo Minghi,Nené,1991,A. Minghi,6,Finalista,Francesco Guccini,6,2015,Andrea Occhipinti,Teatro Ariston,36,,,
956,7º,Mietta,Dubbi no,1991,A. Minghi,7,Finalista,Pino Daniele,38,2019,Andrea Occhipinti,Teatro Ariston,36,,,
957,8º,Al Bano e Romina Power,Oggi sposi,1991,Depsa e G. Andreetto,8,Finalista,Al Bano,15,2017,Andrea Occhipinti,Teatro Ariston,36,,,
958,9º,Riccardo Fogli,Io ti prego di ascoltare,1991,G. Morra e M. Fabrizio,9,Finalista,Riccardo Fogli,16,2008,Andrea Occhipinti,Teatro Ariston,36,,,
959,10º,Raf,Oggi un Dio non ho,1991,R. Riefoli e G. Dati,10,Finalista,Raf,38,1991,Andrea Occhipinti,Teatro Ariston,36,,,
960,11º,Enzo Jannacci,La fotografia,1991,V. Jannacci,11,Finalista,Enzo Jannacci,32,2006,Andrea Occhipinti,Teatro Ariston,36,,,
961,12º,Fiordaliso,Il mare più grande che c'è (I Love You Man),1991,F. Ciani e F. Zanotti,12,Finalista,Fiordaliso,32,2004,Andrea Occhipinti,Teatro Ariston,36,,,
962,13º,Jo Squillo e Sabrina Salerno,Siamo donne,1991,G. Coletti,13,Finalista,Sabrina,29,2015,Andrea Occhipinti,Teatro Ariston,36,,,
963,14º,Ladri di Biciclette,Sbatti ben su del Be Bop,1991,P. Belli e E. Prandi,14,Finalista,Studio Sound Group,0,2011,Andrea Occhipinti,Teatro Ariston,36,,,
964,15º,Eduardo De Crescenzo,E la musica va,1991,E. De Crescenzo e F. Del Prete,15,Finalista,Eduardo De Crescenzo,32,1990,Andrea Occhipinti,Teatro Ariston,36,,,
965,16º,Grazia Di Michele,Se io fossi un uomo,1991,"Joanna, G. Di Michele e P. Nocera",16,Finalista,Grazia Di Michele,0,2024,Andrea Occhipinti,Teatro Ariston,36,,,
966,17º,Rossana Casale,Terra,1991,G. Morra e M. Fabrizio,17,Finalista,Eros Ramazzotti,52,2014,Andrea Occhipinti,Teatro Ariston,36,,,
967,18º,Loredana Bertè,In questa città,1991,P. Daniele,18,Finalista,Max Pezzali,38,2020,Andrea Occhipinti,Teatro Ariston,36,,,
968,19º,Gianni Bella,La fila degli oleandri,1991,G. Bella e Mogol,19,Finalista,Gianni Bella,18,1995,Andrea Occhipinti,Teatro Ariston,36,,,
969,20º,Mariella Nava,Gli uomini,1991,M. Nava,20,Finalista,Mia Martini,54,1992,Andrea Occhipinti,Teatro Ariston,36,,,
970,1º,Luca Barbarossa,Portami a ballare,1992,L. Barbarossa,1,Vincitore,,,,Pippo Baudo,Teatro Ariston,42,,,
971,2º,Mia Martini,Gli uomini non cambiano,1992,"G. Dati, M. Falagiani e G. Bigazzi",2,Finalista,Mia Martini,54,1992,Pippo Baudo,Teatro Ariston,42,,,
972,3º,Paolo Vallesi,La forza della vita,1992,G. Dati e P. Vallesi,3,Finalista,Paolo Vallesi,44,1992,Pippo Baudo,Teatro Ariston,42,,,
973,4º,Pierangelo Bertoli,Italia d'oro,1992,P. Bertoli e M. Negri,4,Finalista,Pierangelo Bertoli,40,2013,Pippo Baudo,Teatro Ariston,42,,,
974,5º,Massimo Ranieri,Ti penso,1992,F. Berlincioni e S. Amato,5,Finalista,Adriano Celentano,42,2019,Pippo Baudo,Teatro Ariston,42,,,
975,6º,Matia Bazar,Piccoli giganti,1992,"A. Stellita, S. Cossu, C. Marrale e L. Valente",6,Finalista,Radical,29,2019,Pippo Baudo,Teatro Ariston,42,,,
976,7º,Franco Fasano e Flavia Fortunato,Per niente al mondo,1992,G. Fasano e F. Berlincioni,7,Finalista,Pietro Galassi,8,2017,Pippo Baudo,Teatro Ariston,42,,,
977,8º,Tazenda,Pitzinnos in sa gherra,1992,L. Marielli e F. De André,8,Finalista,Tazenda,33,2007,Pippo Baudo,Teatro Ariston,42,,,
978,9º,Fausto Leali,Perché,1992,A. Civai e G. Bigazzi,9,Finalista,Vale Lambo,51,2018,Pippo Baudo,Teatro Ariston,42,,,
979,10º,Riccardo Fogli,In una notte così,1992,G. Morra e M. Fabrizio,10,Finalista,Riccardo Fogli,5,2010,Pippo Baudo,Teatro Ariston,42,,,
980,11º,Michele Zarrillo,Strade di Roma,1992,"V. Incenzo, M. Zarrillo e A. Venditti",11,Finalista,Michele Zarrillo,32,1997,Pippo Baudo,Teatro Ariston,42,,,
981,12º,Mariella Nava,Mendicante,1992,M. G. Nava,12,Finalista,Franco Staco,9,2018,Pippo Baudo,Teatro Ariston,42,,,
982,13º,Drupi,Un uomo in più,1992,Depsa e G. Fasano,13,Finalista,Pino Daniele,21,1991,Pippo Baudo,Teatro Ariston,42,,,
983,14º,Peppino di Capri e Pietra Montecorvino,Favola blues,1992,"F. Berlincioni, M. Di Francia e G. Faiella",14,Finalista,Peppino Di Capri,26,2013,Pippo Baudo,Teatro Ariston,42,,,
984,15º,New Trolls,Quelli come noi,1992,"D. Gori, N. Di Palo, G. Belleno, V. De Scalzi e F. Berlincioni",15,Finalista,Tananai,53,2022,Pippo Baudo,Teatro Ariston,42,,,
985,NF,Ricchi e Poveri,Così lontani,1992,S. Cutugno,,Non Finalista,Giuliano Palma,20,2014,Pippo Baudo,Teatro Ariston,42,,,
986,NF,Scialpi,È una nanna,1992,G. Scialpi,,Non Finalista,Emiliano Toso,27,2021,Pippo Baudo,Teatro Ariston,42,,,
987,NF,Lina Sastri,Femmene 'e mare,1992,R. Giglio e R. Fiorillo,,Non Finalista,Massimo Ranieri,4,2000,Pippo Baudo,Teatro Ariston,42,,,
988,NF,Paolo Mengoli,Io ti darò,1992,"G. Alberghini, P. Mengoli e G. Trombetti",,Non Finalista,Paolo Mengoli,1,2000,Pippo Baudo,Teatro Ariston,42,,,
989,NF,Enzo Ghinazzi,La mia preghiera,1992,E. Ghinazzi,,Non Finalista,Giulia Parisi,28,2017,Pippo Baudo,Teatro Ariston,42,,,
990,NF,Mino Reitano,Ma ti sei chiesto mai,1992,"F. Reitano, B. Reitano, P. Vernola e G. Andreetto",,Non Finalista,GionnyScandal,9,2012,Pippo Baudo,Teatro Ariston,42,,,
991,NF,Nuova Compagnia di Canto Popolare,Pe' dispietto,1992,"C. Sfogli, P. Raffone e C. Faiello",,Non Finalista,Monica Sarnelli,22,2014,Pippo Baudo,Teatro Ariston,42,,,
992,NF,Giorgio Faletti e Orietta Berti,Rumba di tango,1992,G. Faletti,,Non Finalista,Orietta Berti,1,2012,Pippo Baudo,Teatro Ariston,42,,,
993,NF,Formula 3,Un frammento rosa,1992,M. Luca e L. Bevini,,Non Finalista,Riccardo Betto,16,2022,Pippo Baudo,Teatro Ariston,42,,,
994,1º,Enrico Ruggeri,Mistero,1993,E. Ruggeri,1,Vincitore,Enrico Ruggeri,40,1993,Pippo Baudo,Teatro Ariston,42,,,
995,2º,Cristiano De Andrè,Dietro la porta,1993,D. Fossati e C. De Andrè,2,Finalista,Cristiano De André,22,1992,Pippo Baudo,Teatro Ariston,42,,,
996,3º,Rossana Casale e Grazia Di Michele,Gli amori diversi,1993,"R. Casale, G. Restelli e G. Di Michele",3,Finalista,Grazia Di Michele,0,2024,Pippo Baudo,Teatro Ariston,42,,,
997,4º,Matia Bazar,Dedicato a te,1993,"L. Valente, M. Bassi, S. Cossu, A. Stellita e C. Marrale",4,Finalista,Irama,46,2020,Pippo Baudo,Teatro Ariston,42,,,
998,5º,Renato Zero,Ave Maria,1993,R. Fiacchini e R. Serio,5,Finalista,Hannah Holgersson,47,2012,Pippo Baudo,Teatro Ariston,42,,,
999,6º,Mietta e Ragazzi di Via Meda,Figli di chi,1993,"D. Miglietta, A. De Sanctis, G. Isgrò e F. Neviani",6,Finalista,Mietta,0,2024,Pippo Baudo,Teatro Ariston,42,,,
1000,7º,Paola Turci,Stato di calma apparente,1993,P. Turci e G. Chiocchio,7,Finalista,Paola Turci,38,2006,Pippo Baudo,Teatro Ariston,42,,,
1001,8º,Biagio Antonacci,Non so più a chi credere,1993,B. Antonacci,8,Finalista,Biagio Antonacci,24,1993,Pippo Baudo,Teatro Ariston,42,,,
1002,9º,Amedeo Minghi,"Notte bella, magnifica",1993,A. Minghi,9,Finalista,Amedeo Minghi,27,2013,Pippo Baudo,Teatro Ariston,42,,,
1003,10º,Francesca Alotta,Un anno di noi,1993,"G. Bigazzi, M. Falagiani e G. Dati",10,Finalista,Lucio Battisti,27,1977,Pippo Baudo,Teatro Ariston,42,,,
1004,11º,Andrea Mingardi,Sogno,1993,A. Mingardi,11,Finalista,Franco Simone,36,2017,Pippo Baudo,Teatro Ariston,42,,,
1005,12º,Roberto Murolo,L'Italia è bella,1993,C. Faiello,12,Finalista,Aban,25,2008,Pippo Baudo,Teatro Ariston,42,,,
1006,13º,Tullio De Piscopo,Qui gatta ci cova,1993,"M. Capuano, G. Capuano e T. De Piscopo",13,Finalista,Tullio De Piscopo,6,2015,Pippo Baudo,Teatro Ariston,42,,,
1007,14º,Loredana Bertè e Mia Martini,Stiamo come stiamo,1993,M. Piccoli e L. Bertè,14,Finalista,Loredana Bertè,31,2016,Pippo Baudo,Teatro Ariston,42,,,
1008,15º,Nino Buonocore,Una canzone d'amore,1993,M. De Vitis e N. Buonocore,15,Finalista,Vasco Rossi,54,2020,Pippo Baudo,Teatro Ariston,42,,,
1009,NF,Jo Squillo,Balla italiano,1993,G. Coletti,,Non Finalista,Francesco Napoli,46,2008,Pippo Baudo,Teatro Ariston,42,,,
1010,NF,Ladri di Biciclette e Tony Esposito,Cambiamo musica,1993,"A. Esposito, E. Prandi, G. Verdelli e G. Di Franco",,Non Finalista,Tony Esposito,5,2006,Pippo Baudo,Teatro Ariston,42,,,
1011,NF,"Maurizio Vandelli, Dik Dik e Camaleonti",Come passa il tempo,1993,"G. Bigazzi, R. Del Turco e G. Dati",,Non Finalista,I Camaleonti,31,2009,Pippo Baudo,Teatro Ariston,42,,,
1012,NF,Francesco Salvi,Dammi 1 bacio,1993,"F. Salvi, M. Natale e R. Turatti",,Non Finalista,Nomadi,10,2023,Pippo Baudo,Teatro Ariston,42,,,
1013,NF,Peppino Gagliardi,L'alba,1993,S. Cirillo e P. Gagliardi,,Non Finalista,Salmo,52,2016,Pippo Baudo,Teatro Ariston,42,,,
1014,NF,Peppino di Capri,La voce delle stelle,1993,"G. Faiella, M. Di Francia e F. Berlincioni",,Non Finalista,Alessia Munno,4,2015,Pippo Baudo,Teatro Ariston,42,,,
1015,NF,Schola Cantorum,Sulla strada del mare,1993,A. De Sanctis e A. Cheli,,Non Finalista,Schola Cantorum,26,1997,Pippo Baudo,Teatro Ariston,42,,,
1016,NF,Alessandro Canino,Tu tu tu tu,1993,"G. Bigazzi, P. Hollesch, A. Baldinotti e G. Dati",,Non Finalista,Swayam Padhi,34,2023,Pippo Baudo,Teatro Ariston,42,,,
1017,NF,Milva,Uomini addosso,1993,C. F. Facchinetti e V. Negrini,,Non Finalista,Augusta,39,2011,Pippo Baudo,Teatro Ariston,42,,,
1018,1º,Aleandro Baldi,Passerà,1994,"A. Civai, G. Bigazzi e M. Falagiani",1,Vincitore,Nayt,48,2021,Pippo Baudo,Teatro Ariston,38,,,
1019,2º,Giorgio Faletti,Signor tenente,1994,G. Faletti,2,Finalista,Giorgio Faletti,38,1994,Pippo Baudo,Teatro Ariston,38,,,
1020,3º,Laura Pausini,Strani amori,1994,"A. Valsiglio, R. Buti, Cheope, M. Marati e F. Tanini",3,Finalista,Laura Pausini,47,1994,Pippo Baudo,Teatro Ariston,38,,,
1021,4º,Gerardina Trovato,Non è un film,1994,"A. Anastasio, C. Valli e G. Trovato",4,Finalista,Articolo 31,45,2002,Pippo Baudo,Teatro Ariston,38,,,
1022,5º,Michele Zarrillo,Cinque giorni,1994,V. Incenzo e M. Zarrillo,5,Finalista,Michele Zarrillo,56,1994,Pippo Baudo,Teatro Ariston,38,,,
